date,region,category,quantity,price
2024-01-15,North,Electronics,5,299.99
2024-01-15,South,Clothing,12,49.99
2024-01-16,East,Electronics,3,599.99
2024-01-16,West,Home,8,79.99
2024-01-17,North,Clothing,15,29.99
2024-01-17,South,Electronics,2,999.99
2024-01-18,East,Home,20,24.99
2024-01-18,West,Clothing,7,89.99
2024-01-19,North,Home,10,149.99
2024-01-19,South,Home,6,199.99
2024-01-20,East,Clothing,25,39.99
2024-01-20,West,Electronics,1,1499.99
2024-01-21,North,Electronics,4,449.99
2024-01-21,South,Clothing,18,59.99
2024-01-22,East,Home,12,89.99
2024-01-22,West,Home,3,299.99
2024-01-23,North,Clothing,8,69.99
2024-01-23,South,Electronics,6,349.99
2024-01-24,East,Electronics,2,799.99
2024-01-24,West,Clothing,14,44.99
